timestamp,lat,lon,head,velocity,,,,,,,
1443920539,30.59413833,123.66236,206,2.9,,,,,,,
1443920719,30.59188833,123.66114,208,2.7,,,,,,,
1443920899,30.58961,123.6598883,212,2.7,,,,,,,
1443921079,30.58738833,123.6585,206,2.9,,,,,,,
1443921259,30.58508167,123.657165,214,3.1,,,,,,,
1443921502,30.582805,123.6558067,202,2.9,,,,,,,
1443921682,30.58052667,123.6543883,198,2.9,,,,,,,
1443921862,30.57825,123.65303,204,2.9,,,,,,,
1443922042,30.57602667,123.65158,202,2.9,,,,,,,
1443922222,30.57380333,123.6501383,214,2.9,,,,,,,
1443922474,30.57163667,123.6485817,196,2.9,,,,,,,
1443922654,30.56947,123.647055,206,2.9,,,,,,,
1443922834,30.56727667,123.64553,214,2.9,,,,,,,
1443923014,30.56702667,123.6452483,34,1.1,,,,,,,
1443923194,30.56783167,123.6459183,220,0.9,,,,,,,
1443923376,30.56661,123.6446367,212,1.7,,,,,,,
1443923556,30.564945,123.6429967,224,3.4,,,,,,,
1443923736,30.56402667,123.6413867,240,1.3,,,,,,,
1443923916,30.56372167,123.6404417,0,2.7,,,,,,,
1443924096,30.56724833,123.6456367,60,7.9,,,,,,,
1443924160,30.57133167,123.6518017,36,8.3,,,,,,,
1443924340,30.57658333,123.6563633,50,7.9,,,,,,,
1443924520,30.57788833,123.65567,242,5,,,,,,,
1443924700,30.57683333,123.651915,246,6,,,,,,,
1443924880,30.575305,123.64836,242,2.7,,,,,,,
1443925063,30.57405333,123.64569,252,2.9,,,,,,,
1443925243,30.57269333,123.64308,238,2.9,,,,,,,
1443925423,30.57125,123.640555,232,2.9,,,,,,,
1443925603,30.56974833,123.6381367,230,2.9,,,,,,,
1443925783,30.56847167,123.6355583,224,2.7,,,,,,,
1443925968,30.56724833,123.6329183,232,2.7,,,,,,,
1443926148,30.56619333,123.630165,246,2.9,,,,,,,
1443926328,30.56522167,123.6274183,248,2.9,,,,,,,
1443926508,30.56441667,123.62458,244,2.9,,,,,,,
1443926688,30.56377667,123.621665,248,2.9,,,,,,,
1443926873,30.56327667,123.61875,252,2.9,,,,,,,
1443927053,30.562915,123.615805,258,2.9,,,,,,,
1443927233,30.56272167,123.61283,280,2.9,,,,,,,
1443927413,30.562665,123.6098317,272,2.9,,,,,,,
1443927593,30.56263833,123.6068867,256,2.9,,,,,,,
1443927778,30.56252833,123.6039417,262,2.5,,,,,,,
1443927958,30.56244333,123.6010283,270,2.7,,,,,,,
1443928138,30.56238833,123.5980833,258,2.7,,,,,,,
1443928318,30.56233333,123.5951683,274,2.9,,,,,,,
1443928498,30.56233333,123.5922467,260,3.3,,,,,,,
1443928683,30.56236,123.5893317,264,2.5,,,,,,,
1443928863,30.56233333,123.5864167,260,2.7,,,,,,,
1443929043,30.56225,123.583525,272,3.1,,,,,,,
1443929223,30.56222,123.5806417,264,2.9,,,,,,,
1443929403,30.5625,123.57772,286,3.3,,,,,,,
1443929588,30.56288833,123.574805,278,3.3,,,,,,,
1443929768,30.56330333,123.571945,288,2.9,,,,,,,
1443929948,30.56372167,123.5690533,274,2.9,,,,,,,
1443930128,30.56422167,123.5661383,284,3.3,,,,,,,
1443930308,30.56477667,123.5632467,300,2.7,,,,,,,
1443930505,30.56522167,123.5603633,280,2.9,,,,,,,
1443930685,30.56563833,123.5574717,282,3.3,,,,,,,
1443930865,30.56608333,123.5545567,276,3.1,,,,,,,
1443931045,30.56647167,123.551635,294,3.3,,,,,,,
1443931225,30.56686,123.5487517,268,3.1,,,,,,,
1443931429,30.56719333,123.5458283,272,2.9,,,,,,,
1443931609,30.56741667,123.5458283,0,0.7,,,,,,,
1443931789,30.56758167,123.5463017,260,1.9,,,,,,,
1443931969,30.56783167,123.5443033,260,1.5,,,,,,,
1443932149,30.568305,123.5418317,298,1.9,,,,,,,
1443932303,30.568805,123.5405267,268,1.5,,,,,,,
1443932483,30.57283333,123.54264,28,9.1,,,,,,,
1443932663,30.579195,123.5482467,40,9.9,,,,,,,
1443932843,30.58552667,123.5541067,42,9.7,,,,,,,
1443933023,30.59113833,123.56089,46,9.5,,,,,,,
1443933208,30.59697,123.56758,36,10.1,,,,,,,
1443933388,30.60338833,123.5739133,40,9.7,,,,,,,
1443933568,30.609555,123.5802533,44,9.3,,,,,,,
1443933748,30.61588833,123.5863033,42,9.7,,,,,,,
1443933928,30.62194333,123.59275,32,10.3,,,,,,,
1443934112,30.62838833,123.5986933,36,10.1,,,,,,,
1443934292,30.63458167,123.6049417,42,9.1,,,,,,,
1443934472,30.64047167,123.6115783,46,10.1,,,,,,,
1443934652,30.64663833,123.6179417,44,10.1,,,,,,,
1443934832,30.652055,123.6251133,50,9.7,,,,,,,
1443935017,30.654945,123.629195,44,6.4,,,,,,,
1443935197,30.66288833,123.6394417,48,10.3,,,,,,,
1443935377,30.66869333,123.6462783,48,10.1,,,,,,,
1443935557,30.673665,123.6537767,44,9.5,,,,,,,
1443935737,30.68008333,123.6599183,40,9.7,,,,,,,
1443935923,30.68427833,123.6678917,60,9.5,,,,,,,
1443936103,30.68944333,123.6752233,40,9.9,,,,,,,
1443936283,30.694665,123.6778633,2,2.9,,,,,,,
1443936463,30.69847167,123.6781383,10,4.4,,,,,,,
1443936643,30.70125,123.678085,8,3.1,,,,,,,
1443936827,30.703915,123.6782217,358,3.3,,,,,,,
1443937007,30.70658167,123.678305,4,3.1,,,,,,,
1443937187,30.70927667,123.6784133,6,3.1,,,,,,,
1443937367,30.71194333,123.6787783,356,3.3,,,,,,,
1443937547,30.71458167,123.67903,12,3.1,,,,,,,
1443937732,30.71722167,123.679305,6,3.3,,,,,,,
1443937912,30.71986167,123.6796633,4,3.3,,,,,,,
1443938092,30.72249833,123.6799683,6,3.3,,,,,,,
1443938272,30.72511,123.6801667,358,3.3,,,,,,,
1443938452,30.72772167,123.6803583,2,3.1,,,,,,,
1443938637,30.73033167,123.6805267,4,2.9,,,,,,,
1443938817,30.73297167,123.680725,6,3.1,,,,,,,
1443938997,30.73558333,123.6808317,10,2.9,,,,,,,
1443939177,30.73819333,123.6809683,354,3.1,,,,,,,
1443939357,30.74080333,123.6810517,0,2.9,,,,,,,
1443939542,30.74338833,123.6810833,348,3.4,,,,,,,
1443939722,30.74594333,123.6814183,26,2.5,,,,,,,
1443939902,30.7485,123.681945,8,3.3,,,,,,,
1443940082,30.75102667,123.6823567,8,3.1,,,,,,,
1443940262,30.753555,123.6828917,12,3.1,,,,,,,
1443940446,30.75608167,123.68344,14,3.1,,,,,,,
1443940626,30.75866667,123.68386,2,3.1,,,,,,,
1443940806,30.76124833,123.684195,10,2.7,,,,,,,
1443940986,30.76383333,123.6843867,4,2.9,,,,,,,
1443941166,30.766445,123.684585,2,2.9,,,,,,,
1443941457,30.769055,123.684775,10,2.9,,,,,,,
1443941637,30.77166667,123.685165,0,3.1,,,,,,,
1443941817,30.77419333,123.6855233,6,2.9,,,,,,,
1443941997,30.77672167,123.6859967,8,3.3,,,,,,,
1443942177,30.77924833,123.6865833,2,3.1,,,,,,,
1443942254,30.78177833,123.68708,8,3.3,,,,,,,
1443942434,30.78427667,123.6876367,6,3.3,,,,,,,
1443942614,30.78683167,123.6880567,4,3.1,,,,,,,
1443942794,30.78936167,123.6883617,14,2.3,,,,,,,
1443942974,30.79188833,123.6886133,0,3.1,,,,,,,
1443943156,30.794415,123.68872,6,2.9,,,,,,,
1443943336,30.79697167,123.6886667,352,2.7,,,,,,,
1443943516,30.79944333,123.6883617,350,2.7,,,,,,,
1443943696,30.80183333,123.6876667,346,1.9,,,,,,,
1443943876,30.80233333,123.6874683,152,1.1,,,,,,,
1443944060,30.802055,123.6876133,0,0,,,,,,,
1443944240,30.80308333,123.6870267,340,0.9,,,,,,,
1443944420,30.80397167,123.6862483,308,3.1,,,,,,,
